,datetime,open_price,higest_price,lowest_price,price_1d,volume,1D_EMA_5,1D_EMA_10,1D_EMA_15,price_1w,1W_EMA_5,1W_EMA_10,1W_EMA_15
322,2021-04-29,6000.72,6104.92,5898.91,6048.63,1105,5972.518848951659,6103.2281304084,6233.270097483148,5887.532,6341.281699591171,6163.764826256688,5786.318543680235
323,2021-05-02,6169.6,6288.18,6048.63,6114.5,4014,6019.845899301106,6105.277561243236,6218.4238352977545,,,,
324,2021-05-03,6228.29,6236.68,5991.74,6001.32,2202,6013.670599534071,6086.376186471738,6191.285855885535,,,,
325,2021-05-04,6121.09,6121.09,5928.85,6075.58,1675,6034.3070663560475,6084.413243476876,6176.822623899843,,,,
326,2021-05-05,6161.82,6168.4,5988.74,5988.74,2445,6019.118044237365,6067.018108299262,6153.312295912362,,,,
327,2021-05-06,6107.92,6107.92,5898.91,5988.74,1297,6008.992029491577,6052.785724972124,6132.740758923316,6033.776,6238.779799727447,6140.130494210017,5817.250725720205
328,2021-05-09,5988.74,6126.48,5958.8,5979.76,2845,5999.248019661052,6039.508320431737,6113.618164057902,,,,
329,2021-05-10,5870.16,6165.41,5870.16,6107.92,2210,6035.472013107368,6051.946807625965,6112.905893550664,,,,
330,2021-05-11,6155.83,6689.42,6120.49,6593.6,9800,6221.514675404913,6150.429206239426,6172.992656856831,,,,
331,2021-05-12,6593.6,6658.28,6407.95,6443.89,3210,6295.639783603276,6203.785714195894,6206.8548247497265,,,,
332,2021-05-13,6527.73,6527.73,6259.43,6345.07,3650,6312.116522402184,6229.473766160277,6224.131721656011,6294.048000000001,6257.202533151632,6168.115495262741,5876.850385005179
333,2021-05-16,6288.18,6592.41,6288.18,6354.05,4679,6326.094348268123,6252.1239904947715,6240.37150644901,,,,
334,2021-05-17,6360.64,6467.24,6354.05,6401.96,2597,6351.382898845416,6279.366901313903,6260.570068142883,,,,
335,2021-05-18,6348.07,6475.03,6348.07,6443.89,3495,6382.2185992302775,6309.280191984102,6283.485059625023,,,,
336,2021-05-19,6572.64,6703.8,6407.95,6449.87,4373,6404.769066153518,6334.841975259719,6304.283177171895,,,,
337,2021-05-20,6386.99,6509.76,6386.99,6449.87,2819,6419.802710769012,6355.756161576133,6322.481530025409,6419.928,6311.444355434422,6213.899587033152,5944.735086879532
338,2021-05-23,6395.98,6597.2,6321.12,6527.73,2509,6455.778473846009,6387.024132198654,6348.1375887722315,,,,
339,2021-05-24,6587.62,6654.09,6401.96,6437.9,2106,6449.818982564006,6396.274289980716,6359.357890175703,,,,
340,2021-05-25,6526.53,6575.64,6464.85,6518.15,4165,6472.595988376004,6418.433509984221,6379.206903903741,,,,
341,2021-05-27,6527.73,7169.72,6527.73,7036.77,9582,6660.65399225067,6530.858326350726,6461.402290915774,6630.1375,6417.675403622949,6289.5792075725785,6030.41038851959
342,2021-05-30,6857.11,7308.06,6857.11,6977.48,5227,6766.2626615004465,6612.062267014229,6525.912004551303,,,,
343,2021-05-31,7114.62,7114.62,6678.05,6689.42,4776,6740.648441000298,6626.127309375278,6546.3505039823895,,,,
344,2021-06-01,6407.95,6827.16,6407.95,6611.57,2740,6697.622294000199,6623.480525852499,6554.502940984591,,,,
345,2021-06-02,6611.57,6827.16,6407.95,6656.49,1477,6683.911529333466,6629.482248424772,6567.251323361517,,,,
346,2021-06-03,6788.84,6789.44,6647.5,6647.5,2713,6671.774352888978,6632.7582032566315,6577.282407941328,6716.492,6517.280935748633,6367.199715286655,6116.170589954641
347,2021-06-06,6527.73,6743.32,6527.73,6566.65,2319,6636.732901925986,6620.738529937244,6575.953356948662,,,,
348,2021-06-07,6566.65,6566.65,6407.95,6409.15,4582,6560.871934617325,6582.267888130472,6555.10293733008,,,,
349,2021-06-08,6527.73,6587.62,6452.87,6459.46,4070,6527.067956411551,6559.939181197658,6543.14757016382,,,,
350,2021-06-09,6497.78,6886.45,6437.9,6584.62,3756,6546.251970941034,6564.426602798084,6548.331623893343,,,,
351,2021-06-10,6314.53,6716.37,6314.53,6469.04,2823,6520.514647294023,6547.083584107522,6538.420170906676,6497.784,6510.781957165756,6390.942312507263,6163.872266210311
352,2021-06-13,6591.81,6591.81,6378.01,6408.55,3276,6483.193098196016,6521.895659724336,6522.186399543341,,,,
353,2021-06-14,6413.94,6455.86,6379.21,6386.99,3858,6451.125398797345,6497.367357956275,6505.286849600424,,,,
354,2021-06-15,6389.99,6467.24,6288.18,6336.09,3175,6412.780265864897,6468.044201964225,6484.1372434003715,,,,
355,2021-06-16,6209.73,6348.07,6048.63,6183.38,5781,6336.313510576598,6416.287074334366,6446.542587975325,,,,
356,2021-06-17,6228.29,6249.25,6114.5,6168.4,1402,6280.342340384399,6371.216697182663,6411.774764478409,6296.682,6439.415304777171,6373.804073869578,6180.473482934022
357,2021-06-20,6168.4,6198.35,5988.74,6033.66,2576,6198.1148935896,6309.84275224036,6364.510418918608,,,,
358,2021-06-21,6048.63,6108.52,5929.45,5987.54,2235,6127.923262393067,6251.242251833021,6317.389116553782,,,,
359,2021-06-22,5988.74,6048.63,5982.75,6006.71,2349,6087.518841595378,6206.7818424088355,6278.554226984559,,,,
360,2021-06-23,6019.28,6042.64,5840.22,5886.93,2760,6020.655894396919,6148.6269619708655,6229.601198611489,,,,
361,2021-06-24,5886.93,5928.85,5845.61,5853.99,2052,5965.100596264613,6095.056605248889,6182.649798785053,5953.7660000000005,6277.532203184781,6297.4335149842,6152.13504756727
362,2021-06-27,5970.77,6089.95,5809.08,5958.2,1119,5962.800397509743,6070.173586112727,6154.593573936921,,,,
363,2021-06-28,5988.74,5988.74,5899.51,5919.87,513,5948.490265006496,6042.845661364959,6125.2531271948055,,,,
364,2021-06-29,5904.9,5958.8,5839.02,5848.01,838,5914.996843337664,6007.420995662239,6090.597736295455,,,,
365,2021-06-30,5815.07,5897.11,5749.19,5803.09,1426,5877.69456222511,5970.269905541832,6054.659269258524,,,,
366,2021-07-01,5916.88,5918.67,5782.13,5839.02,838,5864.803041483407,5946.406286352408,6027.7043606012085,5873.638000000001,6142.9008021231875,6220.3797849870725,6117.322916621361
367,2021-07-04,5839.02,5895.32,5815.67,5830.04,722,5853.215360988938,5925.2487797428785,6002.9963155260575,,,,
368,2021-07-05,5830.04,6104.92,5791.11,5988.14,1935,5898.190240659293,5936.683547062355,6001.1392760853005,,,,
369,2021-07-06,5988.74,6107.32,5946.82,5946.82,978,5914.400160439529,5938.526538505563,5994.349366574638,,,,
