,s,o,h,l,c,v,t
175,ok,624.0,631.0,607.0,608.0,11793,1710374400
176,ok,608.0,619.0,600.1,600.1,5121,1710633600
177,ok,605.0,610.0,598.1,605.0,7743,1710720000
178,ok,617.0,617.0,600.0,609.0,5417,1710806400
179,ok,600.0,621.0,595.0,606.0,6461,1710892800
180,ok,599.0,608.0,596.1,605.0,6401,1710979200
181,ok,593.1,599.9,590.0,593.0,7054,1711324800
182,ok,590.1,609.9,590.0,608.8,7380,1711411200
183,ok,619.9,619.9,596.0,597.0,2846,1711497600
184,ok,592.0,605.0,592.0,593.4,5390,1711584000
185,ok,605.2,605.2,586.0,594.0,4694,1711843200
186,ok,600.0,604.9,586.1,588.0,4661,1711929600
187,ok,588.0,599.0,588.0,590.0,7558,1712016000
188,ok,590.0,600.0,575.1,576.4,16524,1712102400
189,ok,580.0,585.4,576.1,581.6,4204,1712188800
190,ok,575.1,599.8,575.1,599.0,11418,1712448000
191,ok,609.0,610.0,590.0,605.0,20696,1712620800
192,ok,605.0,616.9,590.3,595.0,6833,1712707200
193,ok,603.0,604.9,587.3,592.5,3873,1713052800
194,ok,603.0,603.0,585.0,585.0,4671,1713139200
195,ok,585.0,591.0,580.0,587.0,4527,1713225600
196,ok,580.2,589.7,576.1,576.1,6843,1713398400
197,ok,576.0,594.8,565.1,591.0,4245,1713657600
198,ok,582.1,590.0,581.0,586.9,2041,1713744000
199,ok,580.0,595.8,576.1,583.9,3658,1713916800
200,ok,576.1,586.0,576.0,576.2,2376,1714003200
201,ok,568.0,587.1,568.0,583.0,2833,1714262400
202,ok,578.0,591.6,577.0,579.0,2560,1714348800
203,ok,589.8,599.0,570.0,595.0,16505,1714435200
204,ok,606.9,606.9,581.0,590.0,8223,1714608000
205,ok,580.0,590.0,575.0,578.0,5410,1714867200
206,ok,567.1,580.0,562.0,580.0,6880,1714953600
207,ok,579.0,582.0,569.4,576.0,5009,1715040000
208,ok,570.0,578.6,567.3,576.0,1404,1715126400
209,ok,586.0,623.0,580.0,622.0,86649,1715212800
210,ok,630.0,632.4,606.0,614.0,39791,1715472000
211,ok,609.9,615.9,600.0,606.1,18325,1715558400
212,ok,610.0,620.0,599.0,613.0,26048,1715644800
213,ok,615.0,615.0,596.1,600.0,12698,1715731200
214,ok,600.1,607.0,588.3,589.0,19722,1715817600
215,ok,599.9,611.0,590.0,600.0,20561,1716076800
216,ok,611.9,614.3,600.1,601.0,18332,1716163200
217,ok,601.0,613.0,601.0,613.0,11637,1716249600
218,ok,611.0,637.0,608.0,619.0,71150,1716336000
219,ok,619.0,674.2,619.0,670.0,105921,1716681600
220,ok,677.0,677.0,646.8,656.0,78847,1716768000
221,ok,669.1,694.6,659.0,670.9,44460,1716940800
222,ok,682.0,682.0,647.0,651.0,38189,1717027200
223,ok,638.2,668.0,638.2,656.0,20474,1717286400
224,ok,668.0,668.0,642.9,642.9,18850,1717372800
225,ok,655.7,657.0,640.0,642.0,25717,1717459200
226,ok,642.3,654.0,635.2,639.0,13962,1717545600
227,ok,638.1,654.9,637.0,648.0,19106,1717632000
228,ok,655.0,712.8,651.0,712.8,199071,1717891200
229,ok,727.0,741.0,692.5,699.0,56910,1717977600
230,ok,690.3,710.0,690.3,698.0,22663,1718064000
231,ok,700.0,737.4,684.0,711.1,92586,1718150400
232,ok,711.1,728.0,700.1,710.0,78968,1718236800
233,ok,710.0,749.9,710.0,724.0,63018,1718496000
234,ok,734.9,735.6,708.0,708.0,41750,1718668800
235,ok,706.2,720.0,699.0,704.2,24961,1718755200
236,ok,710.0,710.0,689.9,690.0,39205,1718841600
237,ok,680.5,694.0,675.1,676.0,29211,1719100800
238,ok,680.0,693.8,676.0,680.0,19298,1719187200
239,ok,680.0,707.0,678.0,699.5,29794,1719273600
240,ok,685.6,710.0,682.0,682.0,21035,1719360000
241,ok,692.0,692.0,675.1,679.0,18533,1719446400
242,ok,683.0,689.9,675.0,676.0,14286,1719705600
243,ok,676.0,689.5,673.1,689.5,14865,1719792000
244,ok,703.2,746.1,691.0,704.0,36555,1719878400
245,ok,690.0,714.0,690.0,704.7,32263,1719964800
246,ok,708.0,744.0,700.0,742.0,70276,1720051200
247,ok,742.0,780.0,730.0,760.0,106789,1720310400
248,ok,750.0,770.0,743.0,751.0,77637,1720396800
249,ok,740.0,766.0,740.0,743.0,36599,1720483200
250,ok,740.0,760.0,731.1,760.0,35487,1720569600
251,ok,745.1,770.0,745.1,759.8,31037,1720656000
252,ok,770.0,774.9,755.0,762.0,48196,1720915200
253,ok,760.0,770.0,744.0,744.0,48950,1721001600
254,ok,750.0,781.0,746.0,780.0,49310,1721088000
255,ok,795.0,840.0,781.0,835.0,89263,1721174400
256,ok,821.0,844.0,815.0,816.0,65514,1721260800
257,ok,832.0,844.5,800.0,834.0,72271,1721520000
258,ok,845.0,845.0,810.0,818.9,48633,1721606400
259,ok,818.0,861.0,818.0,849.0,64026,1721692800
260,ok,840.0,864.0,817.0,821.0,63013,1721779200
261,ok,815.0,833.0,805.0,817.0,34161,1721865600
262,ok,833.3,849.0,810.0,822.0,27096,1722124800
263,ok,823.0,838.0,800.0,816.0,58744,1722211200
264,ok,799.7,875.0,799.7,856.1,91616,1722297600
265,ok,856.1,916.0,856.1,878.0,83717,1722384000
266,ok,880.0,965.8,880.0,965.8,100145,1722470400
267,ok,985.1,1062.3,985.1,1062.3,25051,1722816000
268,ok,1083.5,1168.5,974.2,980.0,256472,1722902400
269,ok,985.0,1078.0,985.0,1078.0,111011,1722988800
